Wk,Day,Date,Time,Home,Away,Referee,Home Goals,Away Goals
13.0,Sun,2023-07-02,15:00,Norrköping,Häcken,Andreas Ekberg,2.0,2.0
13.0,Sun,2023-07-02,15:00,Halmstad,Göteborg,Joakim Östling,0.0,0.0
13.0,Sun,2023-07-02,17:30,Djurgården,Varberg,Adam Ladebäck,2.0,0.0
13.0,Mon,2023-07-03,19:00,Mjällby,Kalmar,Kristoffer Karlsson,1.0,1.0
13.0,Mon,2023-07-03,19:00,Elfsborg,Hammarby,Granit Maqedonci,2.0,0.0
14.0,Sat,2023-07-08,15:00,AIK Stockholm,Häcken,Glenn Nyberg,1.0,2.0
14.0,Sat,2023-07-08,15:00,Värnamo,Djurgården,Magnus Lindgren,1.0,2.0
14.0,Sat,2023-07-08,17:30,Brommapojkarna,Degerfors,Adi Aganovic,1.0,2.0
14.0,Sun,2023-07-09,15:00,Malmö,Mjällby,Richard Sundell,1.0,2.0
14.0,Sun,2023-07-09,15:00,Sirius,Hammarby,Fredrik Klitte,1.0,2.0
14.0,Sun,2023-07-09,17:30,Kalmar,Elfsborg,Adam Ladebäck,0.0,4.0
14.0,Mon,2023-07-10,19:00,Norrköping,Halmstad,Granit Maqedonci,1.0,2.0
14.0,Mon,2023-07-10,19:00,Göteborg,Varberg,Mohammed Al Hakim,1.0,2.0
15.0,Sat,2023-07-15,15:00,Halmstad,Värnamo,Fredrik Klitte,2.0,2.0
15.0,Sat,2023-07-15,17:30,Häcken,Brommapojkarna,Kristoffer Karlsson,4.0,2.0
15.0,Sat,2023-07-15,17:30,Degerfors,Sirius,Granit Maqedonci,0.0,3.0
15.0,Sun,2023-07-16,15:00,Hammarby,Kalmar,Victor Wolf,3.0,1.0
15.0,Sun,2023-07-16,15:00,Elfsborg,Göteborg,Glenn Nyberg,1.0,1.0
15.0,Sun,2023-07-16,17:30,Mjällby,Norrköping,Oscar Johnson,1.0,2.0
15.0,Mon,2023-07-17,19:00,Djurgården,Malmö,Mohammed Al Hakim,2.0,0.0
15.0,Mon,2023-07-17,19:00,Varberg,AIK Stockholm,Joakim Östling,1.0,2.0
16.0,Fri,2023-07-21,19:00,Brommapojkarna,Hammarby,Glenn Nyberg,1.0,0.0
16.0,Sat,2023-07-22,15:00,Djurgården,Elfsborg,Fredrik Klitte,0.0,4.0
16.0,Sat,2023-07-22,17:30,Värnamo,Häcken,Richard Sundell,1.0,0.0
16.0,Sun,2023-07-23,15:00,AIK Stockholm,Malmö,Adam Ladebäck,0.0,0.0
16.0,Sun,2023-07-23,15:00,Norrköping,Degerfors,Victor Wolf,1.0,0.0
16.0,Sun,2023-07-23,17:30,Göteborg,Halmstad,Andreas Ekberg,0.0,0.0
16.0,Sun,2023-07-23,17:30,Kalmar,Varberg,Granit Maqedonci,1.0,0.0
16.0,Mon,2023-07-24,19:00,Sirius,Mjällby,Joakim Östling,2.0,3.0
